urun_grubu,urun,baslik,problem_tarifi,cozum,etiketler,link
Enerji Yönetimi Ürün Grubu,Entbus Pro,Entbus Pro İzleme Ekranında Cihaz Verileri Gelmiyor ve Cihazların Yanındaki Led Yanmıyor ise Sorun Ne Olabilir?,Entbus Pro izleme ekranında cihaz verileri gelmiyor ve cihazların yanındaki led yanmıyor ise sorun ne olabilir?,"Sorun cihazların tamamında yaşanıyor ise sahadaki tüm network ve EMG&GEM konvertör bağlantılarını kontrol ediniz.
Birkaç cihazda bu sorunu yaşıyorsanız o bölgeye ait network ve EMG&GEM modem kontrollerini yapınız.
Sorun halen devam ediyorsa pc ve sunucu kontrolü için teknik destek alınız.",entbus;entbuspro;haberleşme,https://destek.entes.com.tr/spaces/SP/pages/983370/Entbus+Pro+%C4%B0zleme+Ekran%C4%B1nda+Cihaz+Verileri+Gelmiyor+ve+Cihazlar%C4%B1n+Yan%C4%B1ndaki+Led+Yanm%C4%B1yor+ise+Sorun+Ne+Olabilir
Enerji Verimliliği Ürün Grubu,MPR-1,MPR-1X Serisi Enerji Analizörlerinde Haberleşme Ayarı Nasıl Yapılır?,MPR-1X Serisi Enerji Analizörlerinde Haberleşme Ayarı Nasıl Yapılır?,"Cihaz üzerindeki haberleşme anahtarları ile donanımın Modbus adresini 1 ile 31 arasında ayarlayabilirsiniz.
1 den 5 e kadar olan anahtarlar Modbus adresi için, 6'dan 8'e kadar olan anahtarlar ise BAUD RATE ayarı içindir.
Cihaz adresi için anahtar pozisyonları binary mantıkla aşağıdaki gibi ayarlanır,
Anahtar on ise değeri  - >  1 Anahtar on ise değeri  - >  2 Anahtar on ise değeri  - >  4 Anahtar on ise değeri  - >  8 Anahtar on ise değeri  - >  16
Örneğin Cihaz Modbus adresini 15 yapmak için  1. Anahtar, 2. Anahtar , 3. Anahtar ve 4 anahtarı ON yapmanız yeterlidir.",mpr;mpr-1;binary;baudrate;modbus,https://destek.entes.com.tr/spaces/SP/pages/983293/MPR-1X+Serisi+Enerji+Analiz%C3%B6rlerinde+Haberle%C5%9Fme+Ayar%C4%B1+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,"ENT-CXD, RG3, RGP, RGA, RGSR","Kondansatörlerin Mevcut Güç Değerlerini Nasıl Ölçüp, Görebiliriz?","Kondansatörlerin Mevcut Güç Değerlerini Nasıl Ölçüp, Görebiliriz?","ENTES Reaktif Güç Kontrol Rölelerinde, manuel kademe çektirme işlemi için ilgili ürünün detaylı kullanım kılavuzuna bakabilirsiniz.
Kademeler manuel çektirilip, devreye alındıktan sonra pens ampermetre, çektirilen kontaktöre bağlı olan kondansatörün kablolarına takılarak amper kademesinde ölçüm yapılır.
Eğer değer '0' sıfır ise veya kondansatör güç değerinin altında ise kondansatörün bozuk olduğu anlaşılır.
Tüm bu manuel işlemlere alternatif olarak, eğer RGA/RGSR/RGP serisi reaktif güç kontrol rölesi kullanılıyor ise Enerji Doktoru'nun ""Kademe Bakımı"" özelliği sayesinde tüm kondansatörlerin mevcut kapasiteleri yazılım üzerinden online olarak takip edilebilmektedir.",kondansatör;çektirme;kademe;manuel;rg,https://destek.entes.com.tr/spaces/SP/pages/983347/Kondansat%C3%B6rlerin+Mevcut+G%C3%BC%C3%A7+De%C4%9Ferlerini+Nas%C4%B1l+%C3%96l%C3%A7%C3%BCp+G%C3%B6rebiliriz
Koruma & Kontrol Ürün Grubu,DTR,Astronomik Zaman Saatlerinde Gün Batımı & Gün Doğumu Ekranından Sonraki +0 Sayfası Ne Anlama Gelir?,Astronomik Zaman Saatlerinde Gün Batımı & Gün Doğumu Ekranından Sonraki +0 Sayfası Ne Anlama Gelir?,"Astronomik zaman saatlerinde programlama yapılırken  Çek Zaman ve Bırak Zaman saatlerini seçtiğimizde sonraki ekranda karşımıza çıkan ekranda ki +0:00:00 süre ekranında ayarlar aşağıdaki gibi yapılır.
Örneğin çekme zamanını gün batımı seçtiğimizde +0 yada -0 olarak bizden bir süre sorar, gün batımından +30.... -30....dk & sn bu şekilde 30dk sonra yada 30dk önce kontağını kapatır.
Aynı seçenekler gün doğumu bırak zaman menüsünde de geçerlidir.
Özetle bu özellik bize menü ve programlama için esneklik sağlar, örneğin gün batımından 30 dakika önce / sonra lambalar yansın veya gün doğumunda 30 dakika önce / sonra lambalar sönsün gibi bir program yapma şansı sunar.",zaman;gün;program;dtr,https://destek.entes.com.tr/spaces/SP/pages/983435/Astronomik+Zaman+Saatlerinde+G%C3%BCn+Bat%C4%B1m%C4%B1+G%C3%BCn+Do%C4%9Fumu+Ekran%C4%B1ndan+Sonraki+0+Sayfas%C4%B1+Ne+Anlama+Gelir
Koruma & Kontrol Ürün Grubu,"DTR, MCB-5",Astronomik Ve Dijital Zaman Saatlerinde Program Yapıldıktan Sonra Programın Gözükmemesi ile Neden Karşılaşılabilir?,Astronomik Ve Dijital Zaman Saatlerinde Program Yapıldıktan Sonra Programın Gözükmemesi,"DTR serisi astronomik zaman röleleri ve MCB-5X serisi dijital zaman rölelerinde istenilen programlama yapıldıktan sonra, ekranda ""program uygun"" yazısı çıkar ve 'EVET' seçilir.
Fakat bu işlem son adım değildir.
Bu adımdan sonra 'ESC' tuşu ile kademeli olarak menülerde geri çıkılır ve 'KAYDET EVET' seçeneği seçilmesi gerekir.
Eğer bu son adım yapılmaz ise program yapılmış olur fakat kaydedilmemiş olur.",program;astronomik;zaman;mcb;ayar;dtr;röle,https://destek.entes.com.tr/spaces/SP/pages/983416/Astronomik+Ve+Dijital+Zaman+Saatlerinde+Program+Yap%C4%B1ld%C4%B1ktan+Sonra+Program%C4%B1n+G%C3%B6z%C3%BCkmemesi+ile+Neden+Kar%C5%9F%C4%B1la%C5%9F%C4%B1labilir
Kompanzasyon Ürün Grubu,ENT-SC,ENT.SC Serisi Statik Kontaktörler ile Birlikte Kullanılacak Kondansatör Nasıl Seçilir?,ENT.SC Serisi Statik Kontaktörlerle Kullanılacak Kondansatör Nasıl Seçilir?,"Kondansatörün gücü; statik kontaktör gücünü geçmeyecek şekilde seçilmelidir.
Örneğin; ENT.SC-225 statik kontaktörü 400 V'da 25 kVAR güce kadar kullanım imkanı sağlamaktadır.",kondansatör;reaktif;kompanzasyon;kontaktör;ent-sc;statik,https://destek.entes.com.tr/spaces/SP/pages/983514/ENT.SC+Serisi+Statik+Kontakt%C3%B6rler+ile+Birlikte+Kullan%C4%B1lacak+Kondansat%C3%B6r+Nas%C4%B1l+Se%C3%A7ilir
Enerji Verimliliği Ürün Grubu,EPM-34,EPM-34 Ampermetre ENS.CCT Serisi Clamp Tip Ayrılabilir Akım Trafoları ile Kullanılabilir mi?,EPM-34 Ampermetre ENS.CCT Serisi Clamp Tip Ayrılabilir Akım Trafosu ile Kullanılabilir mi?,"EPM-34 model Ampermetre sekonderi 5A veya 1A olan akım trafoları ile uyumludur.
ENS.CCT tipi akım trafoları sekonderi 333mV'a dönüştüren transdüser mantığında çalışan ekipmanlardır ve ""PM"" serisi ENTES enerji analizörleri ile uyumludur.",akım;enerji;verimliliği;epm-34;ens-cct;trafosu;ct,https://destek.entes.com.tr/spaces/SP/pages/983274/EPM-34+Ampermetre+ENS.CCT+Serisi+Clamp+Tip+Ayr%C4%B1labilir+Ak%C4%B1m+Trafolar%C4%B1+ile+Kullan%C4%B1labilir+mi
Enerji Verimliliği Ürün Grubu,MPR-6X,MPR-6X Serisi Enerji Analizörlerinde Ekran Aydınlatma Işığı Var Mıdır?,MPR-6X Serisi Enerji Analizörlerinde Ekran Aydınlatma Işığı Var Mıdır?,"MPR-6X Serisi enerji analizörlerinde kullanıcı isteğine bağlı olarak ekran aydınlatma ışığı için ON / OFF seçeneği bulunur ve ayarlanabilir. Ayar için;
""Menü"" tuşuna basılır, ""yukarı ok"" yardımıyla ilerlenir ve ayarlar menüsüne gelinir.
Giriş için ""menü"" tuşuna basılır. Tekrar ""yukarı ok"" yardımıyla ilerlenerek ""Ekran'Ayarı""na gelinip ""Menü"" tuşuyla girilir.
""Yukarı ok"" yardımıyla ilerlenip ""Işık Aç"" seçeneğine gelinerek ""Menü"" tuşuna basılır ve buradan ekranın ışığı;
Otomatik Aç Kapalı olarak görülür. İstenilen ayara ""yukarı ok"" tuşları yardımıyla gelinerek ""Menü"" tuşuyla onaylanır.",backlight;ışık;mpr-6;analizör,https://destek.entes.com.tr/spaces/SP/pages/983239/MPR-6X+Serisi+Enerji+Analiz%C3%B6rlerinde+Ekran+Ayd%C4%B1nlatma+I%C5%9F%C4%B1%C4%9F%C4%B1+Var+M%C4%B1d%C4%B1r
Enerji Yönetimi Ürün Grubu,Enerthings,Enerthings Enerji Yönetim Platformunda Enerji Kalitesi Değerlerinin İzleme Hassasiyetleri (Histerisis) Değiştirilebilir Mi?,Enerthings Enerji Yönetim Platformunda Enerji Kalitesi Değerlerinin İzleme Hassasiyetleri (Histerisis) Değiştirilebilir Mi?,Enerthings kullanıcıları sistemdeki “Sistem Yöneticisi” tipindeki hesabı kullanarak sistem parametreleri bölümünden gerekli değişiklikleri yapabilirler.,gerilim;akım;dalgalanma;harmonik;enerthings,https://destek.entes.com.tr/spaces/SP/pages/983415/Enerthings+Enerji+Y%C3%B6netim+Platformunda+Enerji+Kalitesi+De%C4%9Ferlerinin+%C4%B0zleme+Hassasiyetleri+Histerisis+De%C4%9Fi%C5%9Ftirilebilir+Mi
Koruma & Kontrol Ürün Grubu,GKRC,GKRC Serisi Gerilim Koruma Röleleri Faz-Faz ve Faz-Nötr Uygulamalar için Model Seçimi Nasıl Yapılır?,GKRC Serisi Gerilim Koruma Röleleri Faz-Faz ve Faz-Nötr Uygulamalar için Model Seçimi Nasıl Yapılır?,"Aşağıda yazılan Gerilim Koruma Röleleri Faz-Nötr uygulamalar için uygun olup, 150-300 V AC besleme gerilimine sahiptir.
GKRC-01 GKRC-02 GKRC-02F GKRC-02FA
Aşağıda yazılan Gerilim Koruma Röleleri Faz-Faz uygulamalar için uygun olup, 270-510 V AC besleme gerilimine sahiptir.
GKRC-03 GKRC-03F",gkrc,https://destek.entes.com.tr/spaces/SP/pages/983144/GKRC+Serisi+Gerilim+Koruma+R%C3%B6leleri+Faz-Faz+ve+Faz-N%C3%B6tr+Uygulamalar+i%C3%A7in+Model+Se%C3%A7imi+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Koruma & Kontrol Ürün Grubu,MKC,MKC Serisi Motor Koruma Röleleri Faz-Faz ve Faz-Nötr Uygulamalar için Model Seçimi Nasıl Yapılır?,MKC Serisi Motor Koruma Röleleri Faz-Faz ve Faz-Nötr Uygulamalar için Model Seçimi Nasıl Yapılır?,"Aşağıda yazılan Motor Koruma Röleleri Faz-Nötr uygulamalar için uygundur.
MK-01 MKC-01 MKS-01 MKC-03 MKS-03 MKC-03P MKC-05 MKC-05P
Aşağıda yazılan Gerilim Koruma Röleleri Faz-Faz uygulamalar için uygun olup, 270-510 V AC besleme gerilimine sahiptir.
MKC-04 MKC-06 MKC-06P",koruma;mkc;motor,https://destek.entes.com.tr/spaces/SP/pages/983172/MKC+Serisi+Motor+Koruma+R%C3%B6leleri+Faz-Faz+ve+Faz-N%C3%B6tr+Uygulamalar+i%C3%A7in+Model+Se%C3%A7imi+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,DU-3,DU-3 Deşarj Üniteleri Nasıl Kullanılır?,DU-3 Deşarj Üniteleri Nasıl Kullanılır?,"DU-3 deşarj üniteleri, otomatik kompanzasyon uygulamalarında kademe alma süresinin 1 dakikanın altında olduğu durumlarda kullanılmaktadır.
Kompanzasyon kondansatörlerine paralel şekilde bağlanır ve bağlanacak kondansatör gücü max. 50 kVAR olmalıdır.
Monafaze kondansatörlerde kullanılırken, DU-3 ‘ün herhangi iki gerilim klemens bağlantılarını kullanabilirsiniz.",desarj;kompanzasyon;kondansatör,https://destek.entes.com.tr/spaces/SP/pages/983254/DU-3+De%C5%9Farj+%C3%9Cniteleri+Nas%C4%B1l+Kullan%C4%B1l%C4%B1r
Koruma & Kontrol Ürün Grubu,GKRC,GKRC Serisi Gerilim Koruma Röleleri Monofaze Uygulamalarda Kullanılabilir mi?,GKRC Serisi Gerilim Koruma Röleleri Monofaze Uygulamalarda Kullanılabilir mi?,"GKRC-02 ve GKRC-20F serisi cihazlar trifaze koruma yapan gerilim koruma röleleridir.
Faz sırası koruması özelliğine de sahip olduğu için monofaze olarak kullanıma uygun değildir.
Monofaze kullanım için GKRC-M2 veya MCC-1D modelleri tercih edilir.",monofaze;gkrc;trifaze,https://destek.entes.com.tr/spaces/SP/pages/983189/GKRC+Serisi+Gerilim+Koruma+R%C3%B6leleri+Monofaze+Uygulamalarda+Kullan%C4%B1labilir+mi
Koruma & Kontrol Ürün Grubu,MKC-03P MKC-05P MKC-06P,PTC Korumalı Motor Faz Koruma Rölelerinde (MKC) PTC Koruması Devre Dışı Bırakılmak İstenirse Ne Yapılması Gerekir?,PTC Korumalı Motor Faz Koruma Rölelerinde (MKC) PTC Koruması Devre Dışı Bırakılmak İstenirse Ne Yapılması Gerekir?,"PTC koruması olan motor koruma cihazlarında ptc korumasını iptal etmek istenirse, cihazın PTC uçları kısa devre yapılmalıdır.",mkc;ptc;motor;koruma,https://destek.entes.com.tr/spaces/SP/pages/983552/PTC+Korumal%C4%B1+Motor+Faz+Koruma+R%C3%B6lelerinde+MKC+PTC+Korumas%C4%B1+Devre+D%C4%B1%C5%9F%C4%B1+B%C4%B1rak%C4%B1lmak+%C4%B0stenirse+Ne+Yap%C4%B1lmas%C4%B1+Gerekir
Koruma & Kontrol Ürün Grubu,PS-1202,PS-1202 Güç Kaynağında Çıkış Gerilimi Sabit midir Yoksa Ayarlanabilir midir?,PS-1202 güç kaynağı cihazında çıkış gerilimi sabit midir yoksa ayarlanabilir mi?,"PS-1202 ince tipteki tasarımı ve 85-265 VAC & 110-350 VDC geniş besleme aralığı ile endüstriyel uygulamalarında ve bina otomasyonlarında güvenle kullanılabilen 120 W (24 VDC, 5 A) anahtarlama modlu güç kaynağıdır.
Bu modelde çıkış gerilim aralığı 20.7 – 27.6 VDC olarak ayarlanabilmektedir.",power;kaynağı;güç;supply;ps,https://destek.entes.com.tr/spaces/SP/pages/983463/PS-1202+G%C3%BC%C3%A7+Kayna%C4%9F%C4%B1nda+%C3%87%C4%B1k%C4%B1%C5%9F+Gerilimi+Sabit+midir+Yoksa+Ayarlanabilir+midir
Kompanzasyon Ürün Grubu,RG3,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Fabrika Ayarlarına Dönme Nasıl Yapılır?,RG3 Serisi Reaktif Güç Kontrol Rölelerinde Fabrika Ayarlarına Dönme Nasıl Yapılır?,"RG3 serisi reaktif güç kontrol rölelerinde fabrika ayarlarına dönme işleminin yapılabileceği bir ayar menüsü bulunmamaktadır.
RG3 serisi reaktif güç kontrol rölelerinde sadece "" Reset "" menüsü ile daha önceden kayıt edilmiş olan alarm, enerji değerleri vb. gibi parametrelerin sıfırlama işlemi yapılabilmektedir.",fabrika;rg3;reset;alarm,https://destek.entes.com.tr/spaces/SP/pages/983596/RG3+Serisi+Reaktif+G%C3%BC%C3%A7+Kontrol+R%C3%B6lelerinde+Fabrika+Ayarlar%C4%B1na+D%C3%B6nme+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
Enerji Verimliliği Ürün Grubu,EPM-0X,EPM-0X Serisi Multimetrelerde Gerilim Değerlerinin Normalden Yüksek Gösterilmesinin Nedeni Ne Olabilir?,EPM-0X Serisi Multimetrelerde Gerilim Değerlerinin Normalden Yüksek Gösterilmesinin Nedeni Ne Olabilir?,"Eğer gerilim trafosu kullanılmıyor ama donanım ayarlarından bir gerilim trafosu değeri tanımlanmış ise multimetre üzerinde gösterilen gerilim değeri gerçeği yansıtmayacaktır.
Gerilim trafosu kullanılmayan durumda ayarlar menüsünden gerilim trafosu değeri “1” olarak seçilmelidir.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983163/EPM-0X+Serisi+Multimetrelerde+Gerilim+De%C4%9Ferlerinin+Normalden+Y%C3%BCksek+G%C3%B6sterilmesinin+Nedeni+Ne+Olabilir
Enerji Verimliliği Ürün Grubu,EPR Serisi,EPR Serisi Güç ve Enerji Ölçer Ayarlarında Akım Trafosu Primer Değeri Giriş Menüsü Yok İse Nedeni Ne Olabilir?,EPR Serisi Güç ve Enerji Ölçer Ayarlarında Akım Trafosu Primer Değeri Giriş Menüsü Yok İse Nedeni Ne Olabilir?,"EPR serisi enerji ve güç ölçerler, X/5 akım trafosuna uyumlu modeller ve CT-25 akım trafosuna uyumlu modeller olmak üzere 2 farklı versiyona sahiptir.
Eğer kullandığınız donanımda akım trafosu primer değeri giriş menüsü yok ise cihazınız CT-25 akım trafosu ile kullanıma uygundur. CT-25 akım trafosu temin edebilir veya X/5 akım trafosu ile uyumlu bir donanım satın alabilirsiniz.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983152/EPR+Serisi+G%C3%BC%C3%A7+ve+Enerji+%C3%96l%C3%A7er+Ayarlar%C4%B1nda+Ak%C4%B1m+Trafosu+Primer+De%C4%9Feri+Giri%C5%9F+Men%C3%BCs%C3%BC+Yok+%C4%B0se+Nedeni+Ne+Olabilir
Enerji Verimliliği Ürün Grubu,MPR-4X,MPR-4X Serisi Enerji Analizörlerinde 4. Akım Girişi (In) için Kullanılacak Akım Trafosu Ne Olmalıdır?,MPR-4X Serisi Analizörün 4. Akım Girişi (IN) için Kullanılacak Akım Trafosu Ne olmalıdır?,"MPR-4x serisi analizörlerin, arka portunda akım girişleri bulunmaktadır (K1-L1, K2-L2, K3-L3 ve K4-L4). Üç faz için kullanılması gereken akım portları; K1-L1, K2-L2, K3-L3 'dır.
Eğer nötr ölçümü yapılması isteniyorsa, nötr hattına bağlanan akım trafosuun K4-L4 klemensine bağlanması gerekmektedir.
Cihazda nötr hattına bağlanan akım trafosu için ayrı bir çevirme oran (Primer / Sekonder) menüsü olmadığı için, 3 fazın akım hattına bağlanan akım trafosu ile nötr hattına bağlanan akım trafosu aynı olmalıdır.",nötr;akım;trafosu;mpr-4;ct,https://destek.entes.com.tr/spaces/SP/pages/983206/MPR-4X+Serisi+Enerji+Analiz%C3%B6rlerinde+4.+Ak%C4%B1m+Giri%C5%9Fi+In+i%C3%A7in+Kullan%C4%B1lacak+Ak%C4%B1m+Trafosu+Ne+Olmal%C4%B1d%C4%B1r
Enerji Verimliliği Ürün Grubu,MPR EPR EPM,ENTES Enerji Analizörlerinin Ölçüm Değerlerinde Hata Olması Durumunda Hangi Kontroller Yapılmalıdır?,ENTES Enerji Analizörlerinin Ölçüm Değerlerinde Hata Olması Durumunda Hangi Kontroller Yapılmalıdır?,"ENTES Enerji analizörlerinde import ve export olmak üzere çift yönlü aktif enerji ölçümü yapılabilmektedir.
Burada import elektrik enerjisinden aldığımız elektriği, export ise elektrik enerjisine verdiğimiz elektriği ifade etmektedir.
Elektrik üretimi olmayan, sadece tüketen işletmelerde import tarafında kWh değerler görülmesi, export tarafında bir değer görülmemesi yada yüke göre çok küçük değer görülmesi beklenir.
Eğer kullanıcı elektrik üretimi olmamasına karşın, enerji analizöründe, export tarafında kWh değerleri görüyorsa akım trafosu bağlantılarını hatalı yapmış demektir.
EPR-0X, EPM-0X ve MPR-5X Serisi enerji analizörlerinde akım trafosu uçlarının bağlantılarında hata kontrolü için; Yukarı / Aşağı tuşları kullanılarak anlık güç (W) ekranına gidilir, 3 fazdaki değerlerin görüldüğü ekranın sağ alt kısmında nokta işareti yanıp sönüyorsa, o faza ait akım trafosu bağlantı uçları ters bağlanmış demektir, düzeltilmelidir.
Düzelttikten sonra aynı anlık güç (W) ekranında nokta görülmeyecektir. Bu işlemler 3 fazda da nokta görülmeyecek şekilde olana kadar yapılmalıdır.
MPR-4X Serisi enerji analizörlerinde akım trafosu uçlarının bağlantılarında hata kontrolü için; test işlevini kullanarak yaptığınız bağlantıyı kontrol edebilirsiniz.
TEST düğmesine 3 saniye bastığınızda cihaz Test Modu’na geçer. Test Modu’nun sağlıklı çalışabilmesi için aşağıdaki test şartları yerine getirilmelidir:
Nominal gerilimin en az % 20'si gerilim ölçüm girişlerine uygulanmalıdır. Nominal akımın en az % 10'u akım ölçüm girişlerine uygulanmalıdır. Akım ve gerilim girişleri arasındaki açı farkı 30 dereceden daha az olmalıdır (Cosφ değeri endüktif 0,87 ile kapasitif 0,87 arasında olmalıdır.) Bağlantı testi sırasında cihaz bağlantıları kontrol eder ve dahili olarak düzeltebilir veya fiziksel düzeltmeyi kullanıcıya bırakabilir. Gerilim girişleri arasında bir hata varsa, sadece fiziksel bağlantıları değiştirerek düzeltilebilir. Akım trafosu uçlarında yapılan bağlantı hatalarını düzelttikten sonra, gerilim bağlantılarını da yapılabilecek potansiyel bağlantı hatalarına karşılık kontrol edilmesi gerekir.
EPR-0X, EPM-0X ve MPR-5X Serisi enerji analizörlerinde gerilim girişlerinin bağlantılarında hata kontrolü için 3 faz Cosφ değerleri kontrol edilir.
MPR-4X Serisi enerji analizörlerinde test işlevini tekrar kullanarak cihazda gerilim bağlantı hatası olup, olmadığı kontrol edilir.
EPEPR-0X, EPM-0X ve MPR-5X Serisi enerji analizörlerinde tüm bağlantılar doğru yapıldıktan sonra ölçümler ve kayıtlar düzenli olacaktır.
MPR-4X Serisi enerji analizörlerinde tüm bağlantılar doğru yapıldıktan sonra kontrol için test işlevini kullanırız, ""TEST BAŞARILI"" ibaresi gördüğümüz zaman cihazın tüm kablo bağlantıları doğru yapılmış demektir.",trafo;epr;mpr;hata;akım;bağlantı;epm,https://destek.entes.com.tr/spaces/SP/pages/983257/ENTES+Enerji+Analiz%C3%B6rlerinin+%C3%96l%C3%A7%C3%BCm+De%C4%9Ferlerinde+Hata+Olmas%C4%B1+Durumunda+Hangi+Kontroller+Yap%C4%B1lmal%C4%B1d%C4%B1r
Enerji Verimliliği Ürün Grubu,EVM Serisi,EVM Serisi Voltmetrenin Ekranında Hiçbir Ölçüm Değeri Gösterilmiyor Olmasının Nedeni Ne Olabilir?,EVM Serisi Voltmetrenin Ekranında Hiçbir Ölçüm Değeri Gösterilmiyor Olmasının Nedeni Ne Olabilir?,"EVM serisi multimetrelerde Vin ve Un olmak üzere 2 adet gerilim girişi klemensi bulunmaktadır. Vin klemensi gerilim ölçümü için Un klemensi ise cihazın beslemesi için kullanılmaktadır.
Un klemensine gerilim bağlantısı yapılmamış olması durumunda cihazın enerji beslemesi olmadığından dolayı ekranda ölçüm değerleri gösterilemeyecektir.
Bu bağlantının kontrolünün yapılmasını öneririz.",evm;voltmetre,https://destek.entes.com.tr/spaces/SP/pages/983299/EVM+Serisi+Voltmetrenin+Ekran%C4%B1nda+Hi%C3%A7bir+%C3%96l%C3%A7%C3%BCm+De%C4%9Feri+G%C3%B6sterilmiyor+Olmas%C4%B1n%C4%B1n+Nedeni+Ne+Olabilir
Enerji Verimliliği Ürün Grubu,MPR-4X Serisi,"MPR-4X Serisi Enerji Analizörlerinde Akım ve Gerilim Bağlantıları Nasıl yapılır, Hatalı Bağlantı Durumunda Neler Yapılmalıdır?","MPR-4X Serisi Enerji Analizörlerinde Akım ve Gerilim Bağlantıları Nasıl yapılır, Hatalı Bağlantı Durumunda Neler Yapılmalıdır?",MPR-4 Serisi Bağlantı Kontrol ve Düzeltme Klavuzu,mpr-4;analizör;bağlantı;akım;gerilim,https://destek.entes.com.tr/spaces/SP/pages/983344/MPR-4X+Serisi+Enerji+Analiz%C3%B6rlerinde+Ak%C4%B1m+ve+Gerilim+Ba%C4%9Flant%C4%B1lar%C4%B1+Nas%C4%B1l+yap%C4%B1l%C4%B1r+Hatal%C4%B1+Ba%C4%9Flant%C4%B1+Durumunda+Neler+Yap%C4%B1lmal%C4%B1d%C4%B1r
Enerji Verimliliği Ürün Grubu,MPR-4X Serisi,MPR-4X Serisi Enerji Analizörlerinde Fabrika Çıkışlı Modbus Parametreleri Nelerdir?,Fabrika çıkışlı olarak Modbus ayarları cihazda nasıldır?,"MPR-4X serisi şebeke analizörlerinde menü içinde gerekli Modbus ayarlarının yapıldığı RS-485 menüsü bulunmaktadır.
Bu RS-485 menü içinde 3 adet alt menü daha vardır;
Modbus ID (NAD) Baud Rate Parity
Bu parametreler fabrika çıkışlı olarak;
Modbus ID (NAD) : 1 Baud Rate: 115200 Parity: Yok
şeklinde ayarlanmıştır.",analizör;modbus;mpr-4,https://destek.entes.com.tr/spaces/SP/pages/983332/MPR-4X+Serisi+Enerji+Analiz%C3%B6rlerinde+Fabrika+%C3%87%C4%B1k%C4%B1%C5%9Fl%C4%B1+Modbus+Parametreleri+Nelerdir
Enerji Verimliliği Ürün Grubu,EPM MPR,"MPR-5X Serisi Enerji Analizörlerinde Neden 2 Adet Enerji Sayacı Bulunur, Hangi Amaçla Kullanılır?","MPR-5X Serisi Enerji Analizörlerinde Neden 2 Adet Enerji Sayacı Bulunur, Hangi Amaçla Kullanılır?","LED ekranlı şebeke analizörlerinde fabrika çıkışlı iki adet enerji sayacı bulunmaktadır. Bu 2 ayrı sayaç cihazlarda bulunan dijital giriş özelliği sayesinde, şebeke ile jeneratör tüketimlerinini birbirinden ayırmak için kullanılır.",giriş;sayaç;mpr;jenaratör;dijital;input;epm;epr;şebeke;enerji,https://destek.entes.com.tr/spaces/SP/pages/983318/MPR-5X+Serisi+Enerji+Analiz%C3%B6rlerinde+Neden+2+Adet+Enerji+Sayac%C4%B1+Bulunur+Hangi+Ama%C3%A7la+Kullan%C4%B1l%C4%B1r
Kompanzasyon Ürün Grubu,EMM EMR EPM EPR MPR,"Akım Trafosu Kullanılan Donanımlarda, Akım Trafolarının Köprülenerek Topraklanması Ne Tür Problemlere Yol Açar?","Akım trafosu kullanılan donanımlarda, akım trafolarının köprülenerek topraklanması ne tür problemlere yol açar?","ENTES donanımlarının bağlantıları, kurulum talimatlarında yer alan açıklama ve şemalara göre yapılmalıdır. Harici akım trafosu kullanılan donanımlarda akım trafolarının köprülenerek topraklanması sonucunda ölçümlerin doğru yapılamaması ve akım kartlarının arızalanması gibi sorunlar ile karşılaşılabilir.",No labels,https://destek.entes.com.tr/spaces/SP/pages/983320/Ak%C4%B1m+Trafosu+Kullan%C4%B1lan+Donan%C4%B1mlarda+Ak%C4%B1m+Trafolar%C4%B1n%C4%B1n+K%C3%B6pr%C3%BClenerek+Topraklanmas%C4%B1+Ne+T%C3%BCr+Problemlere+Yol+A%C3%A7ar
Enerji Verimliliği Ürün Grubu,EPM-4X,EPM-4X Serisi Ampermetrelerde CT-25 Akım Trafosu Seçimi Nasıl Yapılır?,EPM-4X Serisi Ampermetrelerde CT-25 Akım Trafosu Seçimi Nasıl Yapılır?,"EPM-4A , EPM-4C ve EPM-4P serisi ampermetrelerde kullanılabilen CT-25 akım trafosunun ayarları yapılırken aşağıdaki noktalara dikkat edilmesi gerekir;
Cihaz menüsüne 3 saniye ""SET"" tuşuna basılı tutularak girilir, akım trafosu ayarının yapıldığı ""CTR"" menüsüne gidilir.
""CTR"" menüsüne girildikten sonra yukarı veya aşağı tuşlarına basılarak CT-25 model akım trafosu ayarlarının yapıldığı ""DRCT"" menüsü bulunur ve CT-25 akım trafosu ayarı buraya girilir.",epm-4c;akım;epm-4p;epm-4a;trafosu;ampermetre,https://destek.entes.com.tr/spaces/SP/pages/983404/EPM-4X+Serisi+Ampermetrelerde+CT-25+Ak%C4%B1m+Trafosu+Se%C3%A7imi+Nas%C4%B1l+Yap%C4%B1l%C4%B1r
